state,LFPR,WPR,UR,job_count,top_5_skills,top_industry,average_salary_by_state,Cluster,Archetype
Andaman & Nicobar Islands,60.7,53.1,12.4,0.0,,,,2,"High Unemployment, Low Job Demand (Severe Skill Gap)"
Andhra Pradesh,58.1,55.8,4.0,6.0,"sales, retail, insurance, customer service, review",,541666.6666666666,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Arunachal Pradesh,73.5,69.0,6.1,0.0,,,,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Assam,67.0,64.1,4.4,125.0,"sales, management, marketing, channel sales, project management",,200862.90322580645,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Bihar,51.6,49.9,3.2,414.0,"sales, management, business development, customer service, channel sales",Medical / Healthcare / Hospitals,195491.50485436892,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Chandigarh,58.8,53.9,8.2,746.0,"sales, bpo, customer service, communication skills, international call center",Media / Entertainment / Internet,280325.2361673414,2,"High Unemployment, Low Job Demand (Severe Skill Gap)"
Chhattisgarh,72.0,70.8,1.7,242.0,"sales, management, business development, marketing, accounting",,405645.22821576765,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Dadra & Nagar Haveli & Daman & Diu,69.4,68.2,1.7,0.0,,,,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Delhi,44.6,43.7,2.2,2639.0,"sales, it software - application programming, ites, marketing, customer service",IT-Software / Software Services,473858.3441138422,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Goa,53.3,48.8,8.4,0.0,,,,2,"High Unemployment, Low Job Demand (Severe Skill Gap)"
Gujarat,65.0,64.1,1.3,4134.0,"sales, management, communication skills, business development, customer service",BPO / Call Centre / ITES,246387.18323586744,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Haryana,51.2,49.1,4.2,6341.0,"sales, project management, python, customer service, management",IT-Software / Software Services,273948.0433130699,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Himachal Pradesh,72.8,68.9,5.3,0.0,,,,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Jammu & Kashmir,65.0,61.4,5.6,0.0,,,,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Jharkhand,61.5,60.6,1.4,149.0,"sales, management, lead generation, team management, customer service",,344756.75675675675,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Karnataka,58.1,56.6,2.7,34635.0,"it software - application programming, sales, python, sap, project management",IT-Software / Software Services,231928.31920903956,3,"Low Unemployment, High Job Demand (Healthy / High Opportunity)"
Kerala,55.6,51.9,6.7,1068.0,"sales, communication skills, malayalam, english, management",,298495.7706766917,2,"High Unemployment, Low Job Demand (Severe Skill Gap)"
Ladakh,60.1,57.5,4.3,0.0,,,,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Lakshadweep,49.8,45.0,9.5,0.0,,,,2,"High Unemployment, Low Job Demand (Severe Skill Gap)"
Madhya Pradesh,66.8,65.7,1.7,71.0,"sales, field sales, b2b sales, life insurance, direct sales",,534859.1549295775,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Maharashtra,59.3,57.6,2.9,23855.0,"sales, customer service, project management, python, sap",IT-Software / Software Services,225548.00363434455,3,"Low Unemployment, High Job Demand (Healthy / High Opportunity)"
Manipur,61.4,57.4,6.5,0.0,,,,2,"High Unemployment, Low Job Demand (Severe Skill Gap)"
Meghalaya,74.2,68.8,7.3,0.0,,,,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Mizoram,52.3,50.8,2.9,0.0,,,,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Nagaland,74.8,67.7,9.5,0.0,,,,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Odisha,64.5,62.5,3.1,35.0,"sales, core hr, management, bpo, construction",,412857.1428571429,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Puducherry,52.9,49.9,5.6,0.0,,,,2,"High Unemployment, Low Job Demand (Severe Skill Gap)"
Punjab,55.1,52.4,4.9,385.0,"sales, business development, management, communication skills, team management",,434618.4895833333,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Rajasthan,65.1,62.3,4.3,1007.0,"sales, management, accounts payable, communication skills, customer service",,251859.35935935937,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Sikkim,76.1,75.0,1.5,0.0,,,,0,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Tamil Nadu,61.9,59.8,3.3,8532.0,"sales, management, python, it software - application programming, project management",IT-Software / Software Services,255861.42636962308,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Telangana,59.5,56.7,4.7,12123.0,"sales, it software - application programming, python, project management, sap",IT-Software / Software Services,209207.95678819987,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Tripura,61.7,60.5,1.9,0.0,,,,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Uttar Pradesh,54.6,53.0,3.0,7454.0,"sales, customer service, it software - application programming, communication skills, management",IT-Software / Software Services,299453.246533649,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
Uttarakhand,61.9,59.8,3.3,16.0,"sales, life insurance, insurance sales, agency channel, management",,350000.0,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
West Bengal,60.2,58.5,2.9,1464.0,"sales, customer service, management, communication skills, sap",,247553.84087791495,1,"Low Unemployment, Low Job Demand (Stagnant / Saturated)"
