state,LFPR,WPR,UR
Andaman & Nicobar Islands,60.7,53.1,12.4
Andhra Pradesh,58.1,55.8,4.0
Arunachal Pradesh,73.5,69.0,6.1
Assam,67.0,64.1,4.4
Bihar,51.6,49.9,3.2
Chandigarh,58.8,53.9,8.2
Chhattisgarh,72.0,70.8,1.7
Dadra & Nagar Haveli & Daman & Diu,69.4,68.2,1.7
Delhi,44.6,43.7,2.2
Goa,53.3,48.8,8.4
Gujarat,65.0,64.1,1.3
Haryana,51.2,49.1,4.2
Himachal Pradesh,72.8,68.9,5.3
Jammu & Kashmir,65.0,61.4,5.6
Jharkhand,61.5,60.6,1.4
Karnataka,58.1,56.6,2.7
Kerala,55.6,51.9,6.7
Ladakh,60.1,57.5,4.3
Lakshadweep,49.8,45.0,9.5
Madhya Pradesh,66.8,65.7,1.7
Maharashtra,59.3,57.6,2.9
Manipur,61.4,57.4,6.5
Meghalaya,74.2,68.8,7.3
Mizoram,52.3,50.8,2.9
Nagaland,74.8,67.7,9.5
Odisha,64.5,62.5,3.1
Puducherry,52.9,49.9,5.6
Punjab,55.1,52.4,4.9
Rajasthan,65.1,62.3,4.3
Sikkim,76.1,75.0,1.5
Tamil Nadu,61.9,59.8,3.3
Telangana,59.5,56.7,4.7
Tripura,61.7,60.5,1.9
Uttar Pradesh,54.6,53.0,3.0
Uttarakhand,61.9,59.8,3.3
West Bengal,60.2,58.5,2.9
