state,skill,count,state_total,demand_score
Andhra Pradesh,Business Analysis,1,7,0.14285714285714285
Andhra Pradesh,Customer Support / BPO,1,7,0.14285714285714285
Andhra Pradesh,Marketing & SEO,1,7,0.14285714285714285
Andhra Pradesh,Sales & Business Development,3,7,0.42857142857142855
Andhra Pradesh,Supply Chain & Logistics,1,7,0.14285714285714285
Assam,Business Analysis,2,174,0.011494252873563218
Assam,Cloud Computing (AWS/GCP/Azure),2,174,0.011494252873563218
Assam,Customer Support / BPO,9,174,0.05172413793103448
Assam,Cybersecurity,2,174,0.011494252873563218
Assam,Data Science & Analytics,3,174,0.017241379310344827
Assam,ERP & CRM,4,174,0.022988505747126436
Assam,Excel,2,174,0.011494252873563218
Assam,Finance & Accounting,5,174,0.028735632183908046
Assam,Frontend Frameworks,1,174,0.005747126436781609
Assam,Human Resources (HR) & Recruitment,9,174,0.05172413793103448
Assam,Industrial & Manufacturing,6,174,0.034482758620689655
Assam,Java,1,174,0.005747126436781609
Assam,JavaScript,1,174,0.005747126436781609
Assam,Marketing & SEO,18,174,0.10344827586206896
Assam,Project & Product Management,10,174,0.05747126436781609
Assam,SAP,12,174,0.06896551724137931
Assam,SQL / Relational DBs,2,174,0.011494252873563218
Assam,Sales & Business Development,57,174,0.3275862068965517
Assam,Soft Skills (Communication/Leadership),19,174,0.10919540229885058
Assam,Software Testing / QA,4,174,0.022988505747126436
Assam,Supply Chain & Logistics,5,174,0.028735632183908046
Bihar,Agile & Scrum,11,620,0.017741935483870968
Bihar,Backend Frameworks,7,620,0.01129032258064516
Bihar,Business Analysis,5,620,0.008064516129032258
Bihar,C# / .NET,2,620,0.0032258064516129032
Bihar,C/C++,2,620,0.0032258064516129032
Bihar,Cloud Computing (AWS/GCP/Azure),7,620,0.01129032258064516
Bihar,Customer Support / BPO,42,620,0.06774193548387097
Bihar,Cybersecurity,5,620,0.008064516129032258
Bihar,Data Engineering (ETL/Big Data),2,620,0.0032258064516129032
Bihar,Data Science & Analytics,13,620,0.020967741935483872
Bihar,DevOps & CI/CD,4,620,0.0064516129032258064
Bihar,ERP & CRM,2,620,0.0032258064516129032
Bihar,Excel,15,620,0.024193548387096774
Bihar,Finance & Accounting,45,620,0.07258064516129033
Bihar,Frontend Frameworks,11,620,0.017741935483870968
Bihar,Git / Version Control,9,620,0.014516129032258065
Bihar,Human Resources (HR) & Recruitment,24,620,0.03870967741935484
Bihar,Industrial & Manufacturing,29,620,0.0467741935483871
Bihar,Java,2,620,0.0032258064516129032
Bihar,JavaScript,10,620,0.016129032258064516
Bihar,Machine Learning & AI,7,620,0.01129032258064516
Bihar,Marketing & SEO,53,620,0.08548387096774193
Bihar,Mobile App Development,1,620,0.0016129032258064516
Bihar,NoSQL DBs,1,620,0.0016129032258064516
Bihar,Project & Product Management,18,620,0.02903225806451613
Bihar,Python,3,620,0.004838709677419355
Bihar,SAP,10,620,0.016129032258064516
Bihar,SQL / Relational DBs,12,620,0.01935483870967742
Bihar,Sales & Business Development,155,620,0.25
Bihar,Soft Skills (Communication/Leadership),88,620,0.14193548387096774
Bihar,Software Testing / QA,12,620,0.01935483870967742
Bihar,Supply Chain & Logistics,13,620,0.020967741935483872
Chandigarh,Agile & Scrum,14,1222,0.011456628477905073
Chandigarh,Backend Frameworks,13,1222,0.010638297872340425
Chandigarh,Business Analysis,21,1222,0.01718494271685761
Chandigarh,Business Intelligence (BI),1,1222,0.0008183306055646482
Chandigarh,C# / .NET,5,1222,0.004091653027823241
Chandigarh,C/C++,3,1222,0.0024549918166939444
Chandigarh,Cloud Computing (AWS/GCP/Azure),19,1222,0.015548281505728314
Chandigarh,Customer Support / BPO,170,1222,0.13911620294599017
Chandigarh,Cybersecurity,11,1222,0.00900163666121113
Chandigarh,Data Engineering (ETL/Big Data),3,1222,0.0024549918166939444
Chandigarh,Data Science & Analytics,22,1222,0.01800327332242226
Chandigarh,DevOps & CI/CD,23,1222,0.018821603927986905
Chandigarh,ERP & CRM,30,1222,0.024549918166939442
Chandigarh,Excel,17,1222,0.013911620294599018
Chandigarh,Finance & Accounting,61,1222,0.04991816693944354
Chandigarh,Frontend Frameworks,30,1222,0.024549918166939442
Chandigarh,Git / Version Control,10,1222,0.008183306055646482
Chandigarh,Human Resources (HR) & Recruitment,54,1222,0.044189852700491
Chandigarh,Industrial & Manufacturing,31,1222,0.02536824877250409
Chandigarh,Java,18,1222,0.014729950900163666
Chandigarh,JavaScript,23,1222,0.018821603927986905
Chandigarh,Machine Learning & AI,7,1222,0.0057283142389525366
Chandigarh,Marketing & SEO,70,1222,0.057283142389525366
Chandigarh,Mobile App Development,4,1222,0.0032733224222585926
Chandigarh,NoSQL DBs,2,1222,0.0016366612111292963
Chandigarh,Project & Product Management,35,1222,0.028641571194762683
Chandigarh,Python,15,1222,0.012274959083469721
Chandigarh,SAP,59,1222,0.04828150572831424
Chandigarh,SQL / Relational DBs,25,1222,0.020458265139116204
Chandigarh,Sales & Business Development,213,1222,0.17430441898527005
Chandigarh,Soft Skills (Communication/Leadership),179,1222,0.14648117839607203
Chandigarh,Software Testing / QA,14,1222,0.011456628477905073
Chandigarh,Supply Chain & Logistics,20,1222,0.016366612111292964
Chhattisgarh,Business Analysis,4,311,0.012861736334405145
Chhattisgarh,C/C++,2,311,0.006430868167202572
Chhattisgarh,Customer Support / BPO,14,311,0.04501607717041801
